Time,Race,Kids_Category,Basket_colour,Shirt_Colour,Pants_Colour,Washer_No,Dryer_No,Day_of_Week,Basket_Size
Night,malay,no_kids,black,black,grey,3,9,Tuesday,small
Night,malay,toddler,white,white,blue_jeans,4,10,Tuesday,big
Night,indian,baby,white,blue,brown,3,9,Tuesday,big
Night,indian,no_kids,white,white,black,5,10,Tuesday,small
Night,indian,no_kids,white,blue,black,6,10,Tuesday,small
Night,malay,no_kids,red,brown,black,4,8,Tuesday,big
Late Night,malay,no_kids,pink,red,black,3,7,Tuesday,big
Late Night,indian,no_kids,white,black,white,6,7,Wednesday,big
Early Morning,indian,no_kids,blue,blue,white,4,8,Wednesday,small
Early Morning,chinese,no_kids,white,blue,black,3,7,Wednesday,big
Morning,chinese,no_kids,yellow,grey,white,3,8,Wednesday,big
Morning,malay,no_kids,white,brown,blue_jeans,4,8,Wednesday,big
Morning,malay,no_kids,red,grey,brown,5,8,Wednesday,big
Afternoon,chinese,no_kids,white,red,black,3,9,Wednesday,small
Afternoon,chinese,no_kids,white,black,grey,5,8,Wednesday,big
Afternoon,malay,no_kids,red,blue,black,5,10,Wednesday,big
Afternoon,chinese,no_kids,white,red,black,3,8,Wednesday,small
Afternoon,malay,no_kids,red,white,black,6,10,Wednesday,big
Afternoon,malay,no_kids,white,green,blue_jeans,5,7,Wednesday,small
Afternoon,chinese,no_kids,blue,grey,white,3,10,Wednesday,big
Afternoon,malay,toddler,white,grey,black,3,7,Wednesday,big
Afternoon,malay,young,blue,green,white,5,9,Wednesday,big
Afternoon,chinese,no_kids,black,red,brown,3,9,Wednesday,big
Afternoon,malay,toddler,blue,purple,purple,4,8,Wednesday,big
Evening,malay,no_kids,white,blue,yellow,4,9,Wednesday,small
Evening,malay,no_kids,white,brown,brown,6,8,Wednesday,big
Evening,malay,no_kids,white,purple,purple,4,7,Wednesday,big
Evening,indian,no_kids,black,black,blue_jeans,3,7,Wednesday,big
Night,malay,no_kids,black,black,brown,6,10,Wednesday,big
Night,malay,no_kids,white,black,black,6,8,Wednesday,big
Night,chinese,no_kids,blue,black,red,5,9,Wednesday,big
Night,indian,no_kids,white,white,black,3,7,Wednesday,big
Early Morning,malay,no_kids,yellow,white,white,4,8,Thursday,big
Morning,malay,no_kids,white,blue,black,5,7,Thursday,big
Morning,malay,no_kids,blue,grey,black,4,8,Thursday,big
Morning,chinese,no_kids,blue,pink,black,4,7,Thursday,big
Morning,malay,no_kids,blue,white,yellow,3,8,Thursday,big
Morning,malay,no_kids,blue,brown,black,5,9,Thursday,big
Morning,malay,no_kids,black,red,white,3,8,Thursday,big
Afternoon,foreigner,no_kids,white,white,white,5,10,Thursday,big
Afternoon,malay,no_kids,blue,pink,black,3,7,Thursday,big
Afternoon,malay,no_kids,white,green,black,3,10,Thursday,big
Afternoon,malay,no_kids,white,brown,grey,4,8,Thursday,small
Afternoon,malay,no_kids,white,red,purple,4,7,Thursday,small
Afternoon,malay,no_kids,blue,green,black,6,10,Thursday,big
Evening,indian,no_kids,white,black,grey,5,7,Thursday,big
Evening,chinese,baby,blue,black,black,3,10,Thursday,big
Night,foreigner,no_kids,blue,black,black,3,7,Thursday,big
Night,chinese,no_kids,black,black,blue_jeans,5,8,Thursday,big
Night,malay,no_kids,white,green,brown,3,9,Thursday,big
Night,malay,no_kids,blue,black,brown,3,9,Thursday,big
Night,indian,no_kids,white,blue,black,6,7,Thursday,big
Late Night,chinese,toddler,red,red,green,6,10,Friday,big
Late Night,chinese,no_kids,yellow,brown,black,3,8,Friday,big
Late Night,indian,no_kids,white,grey,black,3,10,Friday,big
Late Night,malay,no_kids,black,blue,grey,5,7,Friday,big
Early Morning,indian,no_kids,yellow,white,black,5,8,Friday,big
Early Morning,malay,baby,red,white,black,5,7,Friday,big
Early Morning,malay,no_kids,red,red,brown,3,7,Friday,big
Morning,chinese,no_kids,red,white,black,5,9,Friday,big
Morning,malay,baby,grey,red,black,3,9,Friday,big
Morning,malay,toddler,white,pink,black,4,7,Friday,big
Morning,indian,no_kids,green,white,black,3,9,Friday,small
Morning,malay,no_kids,white,white,grey,4,10,Friday,big
Afternoon,malay,no_kids,blue,black,black,6,10,Friday,big
Afternoon,indian,no_kids,white,black,grey,4,10,Friday,big
Afternoon,malay,no_kids,black,black,black,3,8,Friday,big
Afternoon,malay,no_kids,white,black,red,4,8,Friday,big
Afternoon,malay,no_kids,blue,black,blue,5,8,Friday,big
Afternoon,malay,no_kids,white,black,black,6,8,Friday,big
Afternoon,malay,no_kids,white,red,black,3,7,Friday,big
Evening,malay,no_kids,white,grey,grey,6,9,Friday,big
Evening,malay,no_kids,grey,grey,black,4,9,Friday,big
Evening,malay,baby,white,blue,black,4,9,Friday,big
Evening,malay,no_kids,green,blue,blue,4,7,Friday,big
Evening,malay,toddler,white,red,blue_jeans,6,10,Friday,big
Evening,malay,no_kids,blue,black,white,5,9,Friday,big
Evening,chinese,no_kids,white,green,black,6,7,Friday,big
Evening,chinese,no_kids,blue,white,black,3,9,Friday,big
Night,chinese,no_kids,white,white,blue_jeans,5,7,Friday,big
Night,foreigner,no_kids,brown,red,grey,6,9,Friday,big
Night,foreigner,young,blue,black,black,3,9,Friday,big
Night,malay,toddler,red,blue,black,4,7,Friday,big
Night,indian,young,red,purple,black,4,10,Friday,big
Night,chinese,no_kids,blue,blue,brown,5,9,Friday,big
Night,malay,no_kids,white,blue,black,3,7,Friday,big
Late Night,chinese,no_kids,white,black,black,3,9,Saturday,big
Late Night,malay,baby,white,red,grey,3,9,Saturday,big
Late Night,malay,no_kids,red,white,black,3,7,Saturday,big
Early Morning,malay,no_kids,white,yellow,black,4,7,Saturday,big
Early Morning,chinese,no_kids,red,black,black,6,9,Saturday,big
Morning,malay,no_kids,white,white,brown,4,10,Saturday,big
Morning,indian,no_kids,green,black,grey,6,9,Saturday,big
Morning,malay,no_kids,red,brown,brown,3,7,Saturday,big
Morning,malay,no_kids,white,red,black,6,9,Saturday,big
Morning,malay,no_kids,red,green,red,6,8,Saturday,big
Morning,malay,no_kids,white,blue,black,6,10,Saturday,small
Morning,chinese,no_kids,red,black,brown,6,9,Saturday,big
Morning,malay,toddler,black,black,blue,4,10,Saturday,big
Morning,malay,no_kids,blue,black,black,5,8,Saturday,big
Morning,malay,no_kids,blue,blue,black,4,9,Saturday,big
Morning,malay,young,red,black,red,4,7,Saturday,big
Morning,malay,young,blue,orange,grey,6,10,Saturday,big
Morning,indian,no_kids,red,grey,brown,6,7,Saturday,big
Afternoon,indian,no_kids,black,blue,black,3,7,Saturday,big
Afternoon,chinese,baby,blue,black,grey,6,7,Saturday,big
Afternoon,chinese,no_kids,white,red,brown,6,10,Saturday,small
Afternoon,chinese,no_kids,black,red,blue_jeans,6,7,Saturday,big
Afternoon,malay,no_kids,red,blue,brown,4,8,Saturday,big
Afternoon,malay,no_kids,white,red,black,5,9,Saturday,big
Afternoon,malay,no_kids,white,green,white,4,8,Saturday,big
Afternoon,malay,no_kids,red,brown,white,4,10,Saturday,big
Afternoon,indian,no_kids,white,black,black,5,10,Saturday,small
Afternoon,foreigner,no_kids,blue,blue,black,6,7,Saturday,big
Afternoon,chinese,no_kids,black,red,black,3,9,Saturday,big
Afternoon,indian,no_kids,black,black,black,4,8,Saturday,big
Afternoon,indian,no_kids,white,orange,black,4,7,Saturday,big
Afternoon,malay,no_kids,white,blue,brown,6,8,Saturday,big
Afternoon,malay,no_kids,blue,black,blue_jeans,5,10,Saturday,big
Afternoon,chinese,no_kids,red,white,black,3,8,Saturday,big
Afternoon,chinese,no_kids,white,black,black,4,7,Saturday,big
Evening,malay,no_kids,red,red,blue_jeans,5,10,Saturday,big
Evening,malay,young,red,black,black,5,7,Saturday,big
Evening,indian,no_kids,white,grey,blue_jeans,6,10,Saturday,big
Evening,indian,no_kids,blue,white,blue_jeans,3,7,Saturday,big
Evening,indian,no_kids,black,white,black,5,10,Saturday,big
Evening,malay,no_kids,blue,red,black,3,7,Saturday,big
Evening,chinese,no_kids,black,black,white,4,10,Saturday,big
Night,malay,no_kids,blue,black,blue_jeans,4,9,Saturday,big
Night,chinese,no_kids,blue,black,white,4,8,Saturday,big
Night,malay,no_kids,pink,grey,blue,3,8,Saturday,big
Night,malay,no_kids,black,blue,black,5,7,Saturday,big
Night,malay,no_kids,white,blue,brown,3,7,Saturday,big
Night,indian,no_kids,white,red,green,6,9,Saturday,big
Night,malay,no_kids,grey,black,grey,6,9,Saturday,big
Night,malay,no_kids,black,grey,brown,5,8,Saturday,big
Night,malay,no_kids,blue,red,grey,4,8,Saturday,big
Night,malay,no_kids,blue,black,black,3,7,Saturday,big
Night,chinese,no_kids,pink,white,blue,6,8,Saturday,big
Night,indian,no_kids,blue,blue,brown,4,10,Saturday,big
Night,malay,no_kids,black,black,blue_jeans,3,8,Saturday,big
Late Night,malay,no_kids,black,red,black,4,7,Sunday,big
Late Night,malay,no_kids,grey,grey,red,6,10,Sunday,big
Late Night,chinese,no_kids,brown,black,black,3,7,Sunday,big
Morning,chinese,no_kids,red,white,blue_jeans,4,10,Sunday,big
Morning,chinese,no_kids,blue,black,pink,3,10,Sunday,big
Morning,malay,no_kids,red,black,blue_jeans,4,8,Sunday,big
Morning,malay,no_kids,purple,blue,black,6,10,Monday,big
Morning,malay,no_kids,red,orange,white,6,9,Monday,small
Morning,malay,no_kids,white,purple,pink,5,8,Monday,big
Morning,malay,baby,green,black,grey,3,9,Monday,big
Morning,indian,no_kids,white,black,blue,6,7,Monday,big
Night,chinese,no_kids,black,purple,purple,6,8,Thursday,small
Night,chinese,no_kids,black,red,brown,5,10,Thursday,big
Night,malay,no_kids,brown,grey,blue_jeans,3,8,Thursday,small
Night,foreigner,no_kids,purple,red,black,6,10,Thursday,big
Night,indian,young,black,pink,grey,6,9,Thursday,big
Night,malay,no_kids,grey,black,white,4,10,Thursday,big
Night,malay,no_kids,white,brown,grey,6,8,Thursday,big
Night,malay,no_kids,white,black,black,6,7,Thursday,big
Night,indian,no_kids,red,blue,white,6,10,Thursday,big
Evening,malay,no_kids,green,black,black,5,8,Friday,big
Early Morning,malay,no_kids,white,black,blue,4,10,Sunday,big
Early Morning,malay,no_kids,blue,black,green,6,10,Sunday,big
Early Morning,indian,no_kids,yellow,red,purple,4,8,Sunday,big
Morning,malay,young,black,orange,blue_jeans,6,9,Sunday,big
Afternoon,foreigner,no_kids,white,orange,black,3,9,Wednesday,big
Afternoon,indian,no_kids,black,black,black,6,10,Wednesday,small
Afternoon,malay,no_kids,red,white,black,3,7,Wednesday,big
Afternoon,malay,no_kids,white,black,black,6,7,Wednesday,big
Afternoon,malay,no_kids,white,black,black,6,8,Wednesday,small
Afternoon,malay,no_kids,orange,black,grey,3,7,Wednesday,big
Afternoon,indian,no_kids,red,blue,black,4,8,Wednesday,big
Afternoon,malay,no_kids,blue,black,grey,3,7,Wednesday,big
Evening,malay,no_kids,white,white,white,6,9,Wednesday,big
Evening,malay,no_kids,red,red,red,5,9,Wednesday,big
Evening,malay,no_kids,red,purple,purple,3,7,Wednesday,big
Evening,malay,no_kids,pink,purple,purple,5,10,Wednesday,big
Evening,indian,no_kids,black,black,black,4,8,Wednesday,big
Evening,malay,no_kids,blue,black,black,5,9,Wednesday,big
Evening,malay,no_kids,brown,green,blue_jeans,6,7,Wednesday,big
Evening,indian,no_kids,red,orange,black,5,7,Wednesday,big
Evening,malay,no_kids,pink,purple,purple,3,10,Wednesday,small
Evening,malay,no_kids,black,blue,black,6,7,Wednesday,big
Evening,malay,no_kids,blue,black,black,5,9,Wednesday,big
Evening,malay,no_kids,white,grey,grey,3,7,Wednesday,big
Evening,indian,no_kids,red,orange,black,5,8,Wednesday,big
Evening,chinese,no_kids,blue,black,white,3,7,Wednesday,big
Evening,malay,no_kids,blue,black,red,3,10,Wednesday,big
Evening,foreigner,no_kids,brown,grey,brown,5,10,Wednesday,small
Evening,foreigner,no_kids,green,green,black,3,8,Wednesday,big
Night,malay,no_kids,blue,brown,brown,6,9,Wednesday,big
Night,malay,no_kids,grey,green,black,3,9,Wednesday,big
Night,malay,no_kids,white,black,green,5,10,Wednesday,big
Night,malay,no_kids,black,white,blue,5,10,Wednesday,big
Night,malay,no_kids,green,white,black,5,10,Wednesday,big
Night,malay,no_kids,white,black,black,4,8,Wednesday,big
Night,indian,no_kids,white,brown,grey,6,10,Wednesday,big
Night,malay,no_kids,pink,purple,purple,3,8,Wednesday,big
Night,indian,no_kids,white,black,black,5,9,Wednesday,big
Night,indian,no_kids,white,purple,black,6,7,Wednesday,big
Night,indian,no_kids,white,green,black,3,8,Wednesday,big
Late Night,chinese,no_kids,white,blue,white,5,10,Wednesday,big
Late Night,indian,no_kids,white,black,black,5,8,Wednesday,big
Late Night,malay,no_kids,white,yellow,black,5,7,Wednesday,big
Late Night,indian,no_kids,blue,black,black,3,10,Wednesday,big
Morning,chinese,no_kids,brown,orange,black,4,10,Wednesday,big
Morning,chinese,no_kids,blue,grey,blue_jeans,4,7,Wednesday,big
Morning,indian,no_kids,red,brown,blue,3,7,Wednesday,big
Morning,malay,no_kids,blue,orange,blue,4,7,Wednesday,big
Afternoon,chinese,no_kids,black,brown,black,3,7,Wednesday,big
Afternoon,indian,no_kids,white,red,grey,3,10,Wednesday,big
Evening,chinese,no_kids,red,red,blue_jeans,4,8,Wednesday,big
Evening,malay,no_kids,blue,blue,blue,4,8,Wednesday,big
Evening,chinese,no_kids,orange,grey,black,3,8,Wednesday,big
Evening,foreigner,no_kids,white,black,pink,6,9,Wednesday,big
Evening,foreigner,no_kids,grey,yellow,black,5,7,Wednesday,big
Evening,foreigner,no_kids,white,green,white,5,8,Wednesday,big
Evening,chinese,no_kids,blue,green,black,6,10,Wednesday,big
Evening,malay,no_kids,white,red,brown,5,10,Wednesday,big
Evening,malay,no_kids,white,red,black,3,9,Wednesday,big
Night,malay,no_kids,red,purple,white,4,8,Wednesday,big
Night,malay,no_kids,black,green,black,6,9,Wednesday,big
Night,malay,no_kids,grey,green,grey,6,10,Wednesday,big
Night,malay,no_kids,blue,black,black,3,9,Wednesday,big
Night,malay,no_kids,black,black,pink,4,8,Wednesday,big
Night,chinese,no_kids,white,yellow,black,3,7,Wednesday,big
Night,malay,no_kids,black,yellow,grey,5,7,Wednesday,big
Night,malay,no_kids,red,black,grey,4,7,Wednesday,big
Night,malay,young,white,yellow,grey,5,9,Wednesday,big
Night,indian,no_kids,red,green,black,3,10,Wednesday,big
Night,malay,toddler,blue,black,grey,5,9,Wednesday,big
Night,malay,no_kids,red,yellow,grey,5,8,Wednesday,big
Night,malay,no_kids,blue,white,grey,6,8,Wednesday,big
Night,malay,toddler,red,red,black,3,10,Wednesday,big
Night,chinese,young,black,grey,red,4,8,Wednesday,big
Night,malay,no_kids,black,grey,green,3,7,Wednesday,big
Night,malay,no_kids,green,red,grey,5,7,Wednesday,big
Night,malay,no_kids,white,red,black,3,8,Wednesday,big
Night,malay,no_kids,red,brown,white,3,7,Wednesday,big
Night,chinese,no_kids,black,white,grey,4,8,Wednesday,big
Night,malay,no_kids,white,white,black,6,9,Wednesday,big
Night,chinese,no_kids,white,white,black,5,7,Wednesday,big
Late Night,indian,no_kids,white,black,blue_jeans,6,9,Saturday,big
Late Night,malay,no_kids,white,grey,black,4,8,Saturday,big
Late Night,indian,no_kids,white,black,blue_jeans,6,10,Saturday,small
Late Night,foreigner,no_kids,green,grey,blue_jeans,6,8,Saturday,big
Late Night,foreigner,no_kids,red,pink,grey,4,9,Saturday,big
Late Night,indian,no_kids,purple,white,black,5,10,Saturday,big
Early Morning,malay,no_kids,red,white,grey,5,9,Saturday,big
Early Morning,malay,no_kids,white,white,black,4,9,Saturday,small
Early Morning,malay,no_kids,blue,black,black,6,9,Saturday,big
Morning,indian,no_kids,blue,white,brown,6,9,Saturday,big
Morning,indian,no_kids,blue,red,white,6,10,Saturday,big
Morning,malay,toddler,blue,pink,pink,5,9,Saturday,big
Morning,malay,no_kids,black,white,blue_jeans,6,8,Saturday,big
Morning,chinese,no_kids,blue,white,brown,4,9,Saturday,big
Morning,malay,toddler,white,white,black,3,7,Saturday,big
Morning,malay,no_kids,black,white,black,3,10,Saturday,big
Morning,indian,no_kids,red,black,black,6,8,Saturday,big
Morning,indian,no_kids,white,white,blue_jeans,6,9,Saturday,big
Afternoon,indian,no_kids,white,red,black,4,7,Saturday,big
Afternoon,indian,no_kids,white,white,black,4,9,Saturday,big
Afternoon,malay,no_kids,blue,green,blue_jeans,4,7,Monday,big
Afternoon,indian,no_kids,blue,purple,black,5,9,Monday,big
Afternoon,malay,no_kids,brown,red,black,6,7,Monday,big
Afternoon,malay,no_kids,white,black,blue,5,10,Monday,big
Early Morning,chinese,no_kids,blue,black,brown,4,7,Sunday,big
Early Morning,indian,no_kids,red,green,grey,6,7,Sunday,big
Early Morning,foreigner,no_kids,blue,red,red,6,9,Sunday,small
Early Morning,foreigner,no_kids,red,green,green,5,10,Sunday,big
Morning,malay,young,white,white,white,3,7,Sunday,big
Morning,malay,young,white,red,grey,4,9,Sunday,big
Morning,indian,no_kids,white,white,black,5,7,Sunday,big
Morning,malay,no_kids,pink,black,brown,5,8,Sunday,big
Morning,foreigner,no_kids,white,blue,grey,6,7,Sunday,big
Morning,malay,baby,pink,black,blue_jeans,4,8,Sunday,big
Morning,indian,no_kids,white,black,blue_jeans,3,8,Sunday,big
Morning,malay,no_kids,white,white,black,3,8,Sunday,big
Morning,malay,toddler,brown,black,blue_jeans,5,9,Sunday,big
Morning,chinese,no_kids,white,black,black,4,10,Sunday,big
Morning,malay,no_kids,black,black,black,3,7,Sunday,big
Morning,indian,no_kids,black,red,black,3,7,Sunday,big
Morning,chinese,no_kids,red,grey,black,4,9,Sunday,big
Morning,malay,no_kids,green,grey,brown,5,9,Sunday,big
Morning,malay,toddler,white,black,black,6,8,Sunday,big
Morning,indian,no_kids,green,grey,grey,3,8,Sunday,big
Morning,indian,young,red,white,purple,3,8,Sunday,big
Morning,indian,baby,red,white,black,4,8,Sunday,big
Morning,malay,no_kids,red,white,black,6,10,Sunday,big
Morning,malay,no_kids,blue,pink,white,5,10,Sunday,big
Afternoon,malay,toddler,red,white,black,3,10,Sunday,big
Afternoon,chinese,no_kids,white,black,blue_jeans,6,9,Sunday,big
Afternoon,malay,no_kids,orange,white,grey,5,8,Sunday,big
Afternoon,chinese,no_kids,yellow,black,black,5,7,Sunday,big
Afternoon,chinese,toddler,yellow,black,black,5,9,Sunday,big
Afternoon,malay,young,white,brown,blue_jeans,4,7,Sunday,big
Afternoon,indian,no_kids,blue,black,grey,4,10,Sunday,big
Afternoon,malay,no_kids,yellow,purple,green,3,10,Sunday,big
Afternoon,indian,young,orange,red,grey,6,10,Sunday,big
Afternoon,indian,no_kids,white,purple,blue_jeans,5,8,Sunday,big
Afternoon,malay,baby,white,red,black,6,8,Sunday,big
Afternoon,malay,young,blue,white,blue_jeans,4,8,Sunday,big
Afternoon,indian,no_kids,blue,blue,blue,6,10,Sunday,big
Afternoon,indian,no_kids,white,red,black,4,10,Sunday,big
Afternoon,indian,no_kids,blue,black,black,3,7,Sunday,big
Afternoon,chinese,no_kids,white,white,grey,3,7,Sunday,big
Evening,malay,young,purple,pink,grey,3,7,Monday,big
Evening,malay,young,green,white,white,3,8,Monday,big
Evening,malay,toddler,pink,blue,blue_jeans,4,7,Monday,big
Evening,malay,young,red,brown,blue_jeans,6,10,Monday,big
Evening,indian,no_kids,yellow,black,black,4,7,Monday,big
Evening,indian,no_kids,pink,black,blue_jeans,3,8,Monday,big
Evening,chinese,no_kids,green,black,blue_jeans,5,10,Monday,big
Evening,malay,no_kids,white,brown,blue,4,9,Monday,small
Evening,foreigner,no_kids,black,black,black,4,8,Monday,big
Evening,malay,no_kids,red,black,black,5,9,Monday,big
Evening,chinese,no_kids,green,black,white,4,7,Monday,big
Night,indian,no_kids,green,black,brown,6,7,Monday,big
Night,indian,no_kids,white,black,green,6,10,Monday,big
Night,malay,no_kids,black,blue,grey,4,10,Monday,big
Night,malay,no_kids,white,black,black,3,7,Monday,big
Night,chinese,no_kids,green,white,brown,5,9,Monday,big
Night,indian,no_kids,red,white,black,4,10,Monday,big
Night,foreigner,no_kids,white,orange,brown,3,10,Monday,big
Night,malay,no_kids,red,purple,purple,4,8,Monday,big
Night,malay,no_kids,white,black,blue,6,7,Monday,big
Night,chinese,young,red,white,blue,3,8,Monday,big
Night,indian,no_kids,red,white,black,4,8,Monday,big
Night,chinese,no_kids,white,white,blue,5,7,Monday,big
Night,indian,no_kids,red,brown,blue_jeans,5,8,Monday,big
Night,foreigner,no_kids,blue,grey,blue_jeans,6,10,Monday,big
Night,indian,no_kids,white,green,black,6,8,Monday,big
Night,indian,no_kids,white,blue,black,5,7,Monday,big
Night,indian,no_kids,white,green,black,3,7,Monday,big
Night,chinese,no_kids,red,brown,blue,3,9,Monday,big
Early Morning,chinese,young,blue,white,black,5,7,Tuesday,big
Morning,foreigner,no_kids,pink,blue,black,4,8,Tuesday,big
Morning,indian,no_kids,blue,red,black,6,10,Tuesday,big
Morning,chinese,no_kids,black,orange,black,4,10,Tuesday,big
Morning,indian,no_kids,white,blue,black,4,8,Tuesday,big
Morning,indian,no_kids,pink,white,white,4,10,Tuesday,big
Afternoon,chinese,no_kids,blue,red,black,4,9,Tuesday,big
Afternoon,indian,no_kids,blue,black,blue_jeans,5,10,Tuesday,big
Afternoon,indian,no_kids,green,white,black,4,8,Tuesday,big
Evening,indian,no_kids,white,white,black,4,9,Tuesday,big
Evening,foreigner,no_kids,black,green,black,4,9,Tuesday,big
Night,indian,no_kids,red,grey,black,5,8,Tuesday,big
Night,indian,no_kids,green,green,brown,5,7,Tuesday,big
Night,chinese,no_kids,white,white,black,5,9,Tuesday,big
Night,indian,no_kids,blue,black,black,3,10,Tuesday,big
Night,indian,baby,green,orange,black,6,9,Tuesday,big
Night,indian,no_kids,green,red,red,5,9,Tuesday,big
Night,indian,no_kids,blue,green,black,4,8,Tuesday,big
Afternoon,indian,no_kids,blue,black,black,3,7,Wednesday,big
Afternoon,chinese,no_kids,white,brown,white,4,7,Wednesday,big
Afternoon,indian,no_kids,white,blue,black,4,9,Wednesday,big
Evening,indian,no_kids,white,black,brown,6,10,Wednesday,big
Evening,indian,no_kids,white,black,black,5,9,Wednesday,big
Evening,indian,no_kids,red,white,white,4,8,Wednesday,big
Evening,foreigner,no_kids,green,blue,black,5,10,Wednesday,big
Evening,chinese,no_kids,blue,black,black,5,7,Wednesday,big
Evening,foreigner,no_kids,red,red,orange,4,8,Wednesday,big
Night,chinese,no_kids,blue,white,black,6,10,Wednesday,big
Night,chinese,no_kids,blue,red,black,5,8,Wednesday,big
Night,indian,no_kids,blue,black,blue,3,9,Wednesday,big
Night,indian,no_kids,white,black,blue,5,8,Wednesday,big
Night,chinese,no_kids,white,white,red,6,10,Wednesday,big
Night,indian,no_kids,white,black,black,6,10,Wednesday,big
Night,chinese,no_kids,white,blue,black,3,7,Wednesday,big
Night,foreigner,no_kids,red,white,black,6,8,Wednesday,big
Night,chinese,young,white,green,pink,5,7,Wednesday,big
Night,indian,young,black,black,blue_jeans,5,7,Wednesday,big
Night,chinese,no_kids,white,grey,black,6,9,Wednesday,big
Late Night,foreigner,no_kids,red,white,purple,4,7,Thursday,big
Late Night,foreigner,no_kids,red,brown,pink,5,9,Thursday,big
Late Night,indian,no_kids,blue,white,black,6,10,Thursday,big
Late Night,chinese,no_kids,green,orange,black,4,9,Thursday,big
Early Morning,foreigner,no_kids,white,white,green,5,10,Thursday,small
Morning,indian,no_kids,blue,grey,black,4,8,Thursday,big
Morning,foreigner,no_kids,white,white,brown,6,8,Thursday,big
Morning,malay,no_kids,white,black,grey,5,8,Thursday,big
Morning,chinese,no_kids,white,green,black,5,8,Thursday,big
Afternoon,indian,young,green,white,black,6,7,Thursday,big
Evening,indian,no_kids,blue,brown,black,4,10,Thursday,big
